,order quantity,SPEC_1st_N,SPEC_1st_L1,SPEC_1st_L2,SPEC_1st_L3,SPEC_2nd_L1,SPEC_2nd_L2,SPEC_2nd_L3,Customer,By_way,Types,Ap_outer_r,Ap_L,cen_outter_r,cen_L,cen_material,Shell_outer_r_1,Shell_outer_r_2,shell_L,shell_material,Human_Hrs,Material_Cost
1,1.0,625.0,X,X,S,A,M,N,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,0.0,0.0
2,1.0,625.0,X,X,S,A,M,N,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,0.0,0.0
3,1.0,30.0,X,X,S,W,M,R,AMAT,DISPLAY,國內設備商,128.0,180.5,54.9,180.5,SUS420,128.0,0.0,121.0,SUS304,455.0,16083.0
4,1.0,625.0,X,X,S,A,M,N,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,0.0,0.0
5,1.0,625.0,X,X,S,A,M,N,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,0.0,0.0
6,1.0,6.0,X,X,S,C,N,R,力積電,SEMI,國內終端,52.0,63.5,6.0,63.5,SUS420,52.0,0.0,25.0,SUS304,773.0,5559.0
7,2.0,1000.0,B,X,X,C,M,N,奈司特,SEMI,國內代理商,119.45,115.7,46.15,108.4,SUS420,119.45,0.0,109.3,SUS304,2159.0,20684.0
8,1.0,105.0,X,X,S,W,N,H,力積電,SEMI,國內終端,226.1,280.8,193.05,280.8,SUS420,226.1,0.0,148.65,AL6061,2888.0,107525.0
9,5.0,30.0,X,X,S,W,M,R,AUOL8A,DISPLAY,國內終端,138.0,231.0,54.9,231.0,SUS420,138.0,0.0,127.0,SUS304,763.0,16655.0
10,5.0,30.0,X,X,S,W,M,R,AUOL8A,DISPLAY,國內終端,138.0,231.0,54.9,231.0,SUS420,138.0,0.0,127.0,SUS304,763.0,16655.0
11,5.0,12.0,X,X,S,C,N,R,崇文,SEMI,國內設備商,56.0,103.2,12.0,103.2,SUS420,56.0,0.0,56.4,SUS304,0.0,0.0
12,1.0,625.0,X,X,S,A,M,N,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,0.0,0.0
13,1.0,625.0,X,X,S,A,M,N,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,0.0,0.0
14,1.0,20.0,X,F,S,W,N,R,貫旭,OTHERS,國內設備商,105.0,242.0,30.0,242.0,SUS420,105.0,0.0,68.5,SUS304,0.0,0.0
15,1.0,30.0,X,X,S,W,M,R,AMAT,DISPLAY,國內設備商,138.0,231.0,54.9,231.0,SUS420,138.0,0.0,127.0,SUS304,1299.0,18365.0
16,1.0,30.0,X,X,S,W,M,R,AMAT,DISPLAY,國內設備商,138.0,231.0,54.9,231.0,SUS420,138.0,0.0,127.0,SUS304,1299.0,18365.0
17,1.0,625.0,X,X,S,A,M,N,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,0.0,0.0
18,1.0,625.0,X,X,S,A,M,N,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,0.0,0.0
19,1.0,75.0,A,X,H,C,N,R,INX-2,DISPLAY,國內終端,238.2,100.0,90.0,100.0,SUS420,238.2,0.0,98.0,SUS304,0.0,0.0
20,1.0,20.0,X,X,S,W,M,R,新唐,SEMI,國內終端,105.0,136.0,29.0,136.0,SUS420,105.0,0.0,87.85,SUS304,884.0,13671.0
21,1.0,20.0,X,X,S,W,M,R,新唐,SEMI,國內終端,105.0,136.0,29.0,136.0,SUS420,105.0,0.0,87.85,SUS304,884.0,13671.0
22,2.0,12.0,A,F,S,C,N,R,漢民,SEMI,國內設備商,74.0,84.0,33.0,84.0,SUS420,74.0,0.0,64.0,SUS304,989.0,13248.0
23,1.0,40.0,A,F,M,W,N,R,漢民,SEMI,國內設備商,135.0,120.0,50.0,120.0,SUS420,135.0,0.0,102.0,SUS304,1137.0,22704.0
24,1.0,12.0,A,N,S,W,N,N,漢民,SEMI,國內設備商,48.0,211.0,15.0,211.0,SUS420,48.0,0.0,141.0,SUS304,794.0,13429.0
25,1.0,12.0,A,X,M,C,N,R,漢民,SEMI,國內設備商,74.0,295.0,16.0,295.0,SUS304,74.0,0.0,57.5,SUS304,0.0,0.0
26,4.0,30.0,X,X,S,W,M,R,艾美瑞,DISPLAY,國外代理商,138.0,231.0,54.9,231.0,SUS420,138.0,0.0,127.0,SUS304,763.0,16655.0
27,2.0,30.0,X,X,S,W,N,R,艾美瑞,DISPLAY,國外代理商,146.0,162.0,56.85,162.0,SUS420,146.0,0.0,76.0,SUS304,619.0,18600.0
28,1.0,625.0,X,X,S,A,M,N,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,0.0,0.0
29,1.0,625.0,X,X,S,A,M,N,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,0.0,0.0
30,5.0,30.0,X,X,S,W,M,R,AMAT,DISPLAY,國內設備商,128.0,180.5,54.9,180.5,SUS420,128.0,0.0,121.0,SUS304,455.0,16083.0
31,1.0,30.0,X,X,S,W,M,R,AMAT,DISPLAY,國內設備商,138.0,231.0,54.9,231.0,SUS420,138.0,0.0,127.0,SUS304,1299.0,18365.0
32,2.0,375.0,B,B,S,C,N,R,竑新,OTHERS,國內代理商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
33,2.0,20.0,A,F,S,C,N,R,日揚,SEMI,國內代理商,114.0,134.0,25.0,134.0,SUS420,114.0,0.0,62.0,SUS304,0.0,0.0
34,1.0,6.0,A,X,S,C,N,R,WaferTech,SEMI,國外終端,52.0,91.0,6.0,91.0,SUS420,52.0,0.0,25.0,SUS304,962.0,6888.0
35,1.0,8.0,A,G,S,C,N,R,日揚,SEMI,國內代理商,33.8,158.15,9.0,158.15,SUS420,33.8,0.0,44.45,SUS304,0.0,0.0
36,2.0,375.0,B,B,S,C,N,R,加高,OTHERS,國內終端,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
37,1.0,1500.0,B,F,M,W,N,R,南茂,SEMI,國內終端,177.9,94.3,48.3,94.3,SUS420,177.9,0.0,76.4,SUS304,0.0,0.0
38,3.0,375.0,B,B,S,C,N,R,璟茂,OTHERS,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
39,3.0,250.0,B,B,S,C,N,R,璟茂,OTHERS,國內設備商,44.45,98.0,10.0,98.0,SUS420,41.275,0.0,53.0,SUS304,0.0,0.0
40,5.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
41,1.0,625.0,X,X,S,A,M,N,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,0.0,0.0
42,1.0,625.0,X,X,S,A,M,N,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,0.0,0.0
43,1.0,375.0,B,B,S,C,N,R,光頡科技,LED,國內終端,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
44,1.0,1000.0,B,X,X,C,M,N,亞太竑,INDUSTRIAL,國內代理商,119.45,115.7,46.15,108.4,SUS420,119.45,0.0,109.3,SUS304,2159.0,20684.0
45,2.0,20.0,A,F,M,C,N,R,永喬,DISPLAY,國內代理商,105.0,81.5,30.0,82.5,SUS420,105.0,0.0,68.5,SUS304,0.0,0.0
46,1.0,20.0,A,F,M,C,N,R,旭騰,OTHERS,國內代理商,105.0,82.5,30.0,82.5,SUS420,105.0,0.0,68.5,SUS304,0.0,0.0
47,1.0,6.0,A,G,S,C,M,U,向新,OTHERS,國內設備商,113.5,185.5,10.0,105.5,SUS420,113.5,0.0,65.5,SUS304,0.0,0.0
48,1.0,12.0,A,F,S,W,N,N,漢民,SEMI,國內設備商,90.0,110.0,17.0,110.0,SUS420,90.0,0.0,80.0,SUS316,0.0,0.0
49,1.0,6.0,A,X,S,C,N,R,TSMC-8,SEMI,國內終端,52.0,91.0,6.0,91.0,SUS420,52.0,0.0,25.0,SUS304,962.0,6888.0
50,1.0,12.0,A,F,S,W,M,N,漢民,SEMI,國內設備商,64.0,134.0,19.0,134.0,SUS420,64.0,0.0,79.0,SUS304,0.0,0.0
51,1.0,40.0,A,F,M,W,N,R,漢民,SEMI,國內設備商,135.0,120.0,50.0,120.0,SUS420,135.0,0.0,102.0,SUS304,1137.0,22704.0
52,4.0,12.0,A,F,S,W,N,N,漢民,SEMI,國內設備商,90.0,110.0,17.0,110.0,SUS420,90.0,0.0,80.0,SUS316,0.0,0.0
53,2.0,20.0,A,F,S,C,N,R,海拓,OTHERS,國外設備商,105.0,162.4,24.0,162.4,SUS420,105.0,0.0,92.4,SUS304,664.0,12513.0
54,1.0,20.0,A,F,M,C,N,R,ULVAC,DISPLAY,國內設備商,105.0,81.5,30.0,82.5,SUS420,105.0,0.0,68.5,SUS304,0.0,0.0
55,1.0,20.0,A,F,M,C,N,R,ULVAC,DISPLAY,國內設備商,105.0,81.5,30.0,82.5,SUS420,105.0,0.0,68.5,SUS304,0.0,0.0
56,1.0,16.0,A,X,S,C,N,R,漢民,SEMI,國內設備商,74.0,319.5,20.0,319.5,SUS420,74.0,0.0,68.0,SUS304,1118.0,12216.0
57,2.0,20.0,A,F,S,C,N,R,巨孚,INDUSTRIAL,國內設備商,105.0,162.4,24.0,162.4,SUS420,105.0,0.0,92.4,SUS304,664.0,12513.0
58,1.0,20.0,X,N,S,C,N,X,新唐,SEMI,國內終端,48.0,207.0,21.5,207.0,SUS420,48.0,0.0,138.5,SUS304,1016.0,11516.0
59,1.0,12.0,A,C,H,C,N,R,亮傑,SEMI,國內設備商,40.0,50.0,20.0,49.5,SUS420,40.0,0.0,50.0,SUS316,0.0,0.0
60,1.0,10.0,A,X,M,W,N,H,承鋐儀器,OTHERS,國內設備商,56.8,92.0,17.0,92.0,SUS420,56.8,0.0,78.0,SUS304,0.0,0.0
61,1.0,10.0,X,B,S,C,N,R,聚昌,LED,國內設備商,42.0,158.8,10.0,158.8,SUS420,42.0,0.0,100.2,SUS304,814.0,8885.0
62,1.0,20.0,X,N,S,C,N,X,新唐,SEMI,國內終端,48.0,207.0,21.5,207.0,SUS420,48.0,0.0,138.5,SUS304,1016.0,11516.0
63,5.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
64,2.0,4167.0,B,X,X,C,N,R,漢辰,SEMI,國內設備商,266.0,411.0,179.3,411.0,AL6061,266.0,0.0,316.3,AL6061,3054.0,67788.0
66,1.0,20.0,X,N,S,C,N,X,新唐,SEMI,國內終端,48.0,207.0,21.5,207.0,SUS420,48.0,0.0,138.5,SUS304,1016.0,11516.0
67,1.0,30.0,D,X,S,W,M,R,AUOL6A,DISPLAY,國內終端,138.0,257.5,54.9,231.0,SUS420,138.0,0.0,127.0,SUS304,0.0,0.0
68,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,934.0,20717.0
69,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,772.0,16786.0
70,1.0,12.0,A,F,S,W,N,N,漢民,SEMI,國內設備商,90.0,110.0,17.0,110.0,SUS420,90.0,0.0,80.0,SUS316,0.0,0.0
71,2.0,20.0,X,X,S,W,M,R,新唐,SEMI,國內終端,105.0,136.0,29.0,136.0,SUS420,105.0,0.0,87.85,SUS304,884.0,13671.0
72,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,934.0,20717.0
73,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,772.0,16786.0
74,1.0,12.0,A,F,S,W,M,N,漢民,SEMI,國內設備商,64.0,134.0,19.0,134.0,SUS420,64.0,0.0,79.0,SUS304,0.0,0.0
75,1.0,40.0,A,F,M,W,N,R,漢民,SEMI,國內設備商,135.0,120.0,50.0,120.0,SUS420,135.0,0.0,102.0,SUS304,1137.0,22704.0
76,1.0,20.0,A,F,S,C,N,R,巨孚,INDUSTRIAL,國內設備商,105.0,162.4,24.0,162.4,SUS420,105.0,0.0,92.4,SUS304,664.0,12513.0
77,2.0,20.0,X,X,S,W,M,R,新唐,SEMI,國內終端,105.0,136.0,29.0,136.0,SUS420,105.0,0.0,87.85,SUS304,884.0,13671.0
78,1.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
79,1.0,625.0,X,X,S,A,N,H,聯穎光電,LED,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,934.0,20717.0
80,1.0,625.0,X,X,S,A,N,H,聯穎光電,LED,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,772.0,16786.0
81,2.0,6.0,A,G,S,C,N,R,日揚,SEMI,國內代理商,34.0,102.0,6.35,102.0,SUS420,34.0,0.0,68.0,SUS304,0.0,0.0
82,10.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
83,1.0,12.0,A,F,S,W,M,N,漢民,SEMI,國內設備商,64.0,134.0,19.0,134.0,SUS420,64.0,0.0,79.0,SUS304,0.0,0.0
84,1.0,12.0,A,X,M,C,N,R,漢民,SEMI,國內設備商,74.0,295.0,16.0,295.0,SUS304,74.0,0.0,57.5,SUS304,0.0,0.0
85,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,934.0,20717.0
86,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,772.0,16786.0
87,1.0,16.0,A,X,S,C,N,R,漢民,SEMI,國內設備商,74.0,319.5,20.0,319.5,SUS420,74.0,0.0,68.0,SUS304,1118.0,12216.0
88,3.0,4167.0,B,X,X,C,N,R,漢辰,SEMI,國內設備商,266.0,411.0,179.3,411.0,AL6061,266.0,0.0,316.3,AL6061,3054.0,67788.0
89,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,934.0,20717.0
90,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,772.0,16786.0
91,1.0,375.0,B,B,S,C,N,R,倍能真空,OTHERS,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
92,2.0,20.0,X,X,S,W,M,R,新唐,SEMI,國內終端,105.0,136.0,29.0,136.0,SUS420,105.0,0.0,87.85,SUS304,884.0,13671.0
93,3.0,4167.0,B,X,X,C,N,R,漢辰,SEMI,國內設備商,266.0,411.0,179.3,411.0,AL6061,266.0,0.0,316.3,AL6061,3054.0,67788.0
94,2.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
95,4.0,20.0,A,F,S,C,N,R,CEAC,INDUSTRIAL,國外代理商,105.0,162.4,24.0,162.4,SUS420,105.0,0.0,92.4,SUS304,664.0,12513.0
97,3.0,4167.0,B,X,X,C,N,R,漢辰,SEMI,國內設備商,266.0,411.0,179.3,411.0,AL6061,266.0,0.0,316.3,AL6061,3054.0,67788.0
98,1.0,105.0,X,X,S,W,N,H,力積電,SEMI,國內終端,226.1,280.8,193.05,280.8,SUS420,226.1,0.0,148.65,AL6061,2888.0,107525.0
99,1.0,5.0,A,X,S,C,N,R,漢磊-3,SEMI,國內終端,49.0,77.5,7.0,77.5,SUS420,49.0,0.0,38.5,SUS304,1020.0,8200.0
100,1.0,20.0,X,X,S,W,M,R,新唐,SEMI,國內終端,105.0,136.0,29.0,136.0,SUS420,105.0,0.0,87.85,SUS304,884.0,13671.0
101,2.0,20.0,X,X,S,W,M,R,新唐,SEMI,國內終端,105.0,136.0,29.0,136.0,SUS420,105.0,0.0,87.85,SUS304,884.0,13671.0
102,1.0,42.0,A,F,C,C,N,R,亮傑,SEMI,國內設備商,118.0,209.15,12.0,209.15,SUS420,118.0,0.0,80.05,SUS304,2686.0,25936.0
103,1.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
104,4.0,4167.0,B,X,X,C,N,R,漢辰,SEMI,國內設備商,266.0,411.0,179.3,411.0,AL6061,266.0,0.0,316.3,AL6061,3054.0,67788.0
105,1.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
106,1.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
107,1.0,375.0,B,B,S,C,N,R,UMC 8AB,SEMI,國內終端,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
108,1.0,30.0,X,X,S,C,N,R,艾美瑞,DISPLAY,國外代理商,142.0,172.0,57.0,172.0,SUS420,142.0,0.0,77.5,SUS304,686.0,17743.0
109,1.0,30.0,X,X,S,C,M,R,艾美瑞,DISPLAY,國外代理商,142.0,302.0,54.9,302.0,SUS420,142.0,0.0,165.0,SUS304,779.0,21921.0
110,1.0,30.0,X,X,S,W,M,R,艾美瑞,DISPLAY,國外代理商,142.0,262.0,50.0,262.0,SUS420,142.0,0.0,171.0,SUS304,402.0,25537.0
111,1.0,30.0,X,X,S,W,M,R,艾美瑞,DISPLAY,國外代理商,142.0,392.0,50.0,392.0,SUS420,142.0,0.0,261.0,SUS304,456.0,34619.0
112,2.0,1000.0,B,X,X,C,M,N,奈司特,SEMI,國內代理商,119.45,115.7,46.15,108.4,SUS420,119.45,0.0,109.3,SUS304,2159.0,20684.0
113,1.0,40.0,A,X,H,C,N,N,準鑫,OTHERS,國內設備商,165.0,126.0,55.0,126.0,SUS420,165.0,0.0,112.5,SUS304,0.0,0.0
114,1.0,1000.0,B,X,X,C,M,N,亞太竑,INDUSTRIAL,國內代理商,119.45,115.7,46.15,108.4,SUS420,119.45,0.0,109.3,SUS304,2159.0,20684.0
115,2.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,934.0,20717.0
116,2.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,772.0,16786.0
117,1.0,20.0,A,F,S,C,N,R,巨孚,INDUSTRIAL,國內設備商,105.0,162.4,24.0,162.4,SUS420,105.0,0.0,92.4,SUS304,664.0,12513.0
118,2.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
119,1.0,375.0,B,B,S,C,N,R,加高,OTHERS,國內終端,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
120,2.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
121,1.0,15.0,A,F,S,C,N,R,兆遠科技,LED,國內終端,94.0,125.5,15.0,125.5,SUS420,94.0,0.0,50.0,SUS304,1566.0,9842.0
122,4.0,30.0,D,X,S,C,M,N,亞智,DISPLAY,國外設備商,95.0,439.0,30.0,439.0,SUS420,75.0,0.0,64.0,SUS316,0.0,0.0
123,4.0,30.0,D,X,S,C,M,N,亞智,DISPLAY,國外設備商,95.0,479.0,30.0,479.0,SUS420,75.0,0.0,64.0,SUS316,0.0,0.0
124,4.0,20.0,A,F,S,C,N,R,巨孚,INDUSTRIAL,國內設備商,105.0,162.4,24.0,162.4,SUS420,105.0,0.0,92.4,SUS304,664.0,12513.0
125,1.0,1000.0,B,C,M,C,N,R,KJLC,OTHERS,國外代理商,66.61,84.81,33.0,84.81,SUS420,66.61,0.0,69.85,SUS304,0.0,0.0
126,1.0,20.0,A,F,S,C,N,R,亮傑,SEMI,國內設備商,105.0,162.4,24.0,162.4,SUS420,105.0,0.0,92.4,SUS304,664.0,12513.0
127,1.0,105.0,X,X,S,W,N,H,新唐,SEMI,國內終端,226.1,280.8,193.05,280.8,SUS420,226.1,0.0,148.65,AL6061,2888.0,107525.0
128,2.0,375.0,B,B,S,C,N,R,加高,OTHERS,國內終端,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
129,1.0,375.0,B,B,S,C,N,R,UMC 8AB,SEMI,國內終端,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
130,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,934.0,20717.0
131,1.0,375.0,B,X,S,C,N,R,KJLC,OTHERS,國外代理商,69.74,161.93,10.0,161.93,SUS420,69.47,0.0,82.55,AL6061,955.0,9556.0
132,1.0,375.0,B,X,S,C,N,R,KJLC,OTHERS,國外代理商,69.74,161.93,10.0,161.93,SUS420,69.47,0.0,82.55,AL6061,955.0,9556.0
133,2.0,20.0,X,X,S,W,M,R,新唐,SEMI,國內終端,105.0,136.0,29.0,136.0,SUS420,105.0,0.0,87.85,SUS304,884.0,13671.0
134,2.0,38.0,A,F,M,C,N,R,中研院,OTHERS,國內終端,116.0,112.0,50.0,89.0,SUS420,116.0,0.0,74.5,SUS304,0.0,0.0
135,2.0,38.0,A,F,M,C,N,R,中研院,OTHERS,國內終端,116.0,112.0,50.0,89.0,SUS420,116.0,0.0,74.5,SUS304,1274.0,20596.0
138,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,934.0,20717.0
139,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,772.0,16786.0
140,6.0,4167.0,B,X,X,C,N,R,漢辰,SEMI,國內設備商,266.0,411.0,179.3,411.0,AL6061,266.0,0.0,316.3,AL6061,3054.0,67788.0
141,2.0,1000.0,B,C,M,C,N,R,KJLC,OTHERS,國外代理商,66.61,84.81,33.0,84.81,SUS420,66.61,0.0,69.85,SUS304,882.0,10136.0
142,2.0,10.0,A,F,S,C,N,R,鋒鑫,OTHERS,國內設備商,80.0,119.5,12.0,119.5,SUS420,80.0,0.0,69.5,SUS304,372.0,4498.0
143,1.0,35.0,X,X,S,W,N,R,漢磊-3,SEMI,國內終端,133.5,174.7,40.0,174.7,SUS420,133.5,0.0,95.1,SUS304,0.0,0.0
144,1.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
145,1.0,625.0,X,X,S,A,N,H,UMC 8S,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,934.0,20717.0
146,1.0,625.0,X,X,S,A,N,H,UMC 8S,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,772.0,16786.0
147,1.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
148,4.0,30.0,D,X,S,C,M,N,亞智,DISPLAY,國外設備商,95.0,439.0,30.0,439.0,SUS420,75.0,0.0,64.0,SUS316,0.0,0.0
149,4.0,30.0,D,X,S,C,M,N,亞智,DISPLAY,國外設備商,95.0,479.0,30.0,479.0,SUS420,75.0,0.0,64.0,SUS316,0.0,0.0
150,1.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
151,16.0,15.0,A,F,S,C,N,N,聚訊實業,PV,國外代理商,87.0,251.5,25.0,251.5,SUS420,87.0,0.0,104.5,SUS316,258.0,9277.0
152,6.0,15.0,A,F,S,C,N,N,聚訊實業,PV,國外代理商,87.0,368.5,25.0,368.5,SUS420,87.0,0.0,104.5,SUS316,612.0,9277.0
153,6.0,30.0,D,X,S,W,M,R,AUOL6A,DISPLAY,國內終端,138.0,257.5,54.9,231.0,SUS420,138.0,0.0,127.0,SUS304,0.0,0.0
154,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,934.0,20717.0
155,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,772.0,16786.0
156,16.0,15.0,A,F,S,C,N,N,聚訊實業,PV,國外代理商,87.0,251.5,25.0,251.5,SUS420,87.0,0.0,104.5,SUS316,258.0,9277.0
157,6.0,15.0,A,F,S,C,N,N,聚訊實業,PV,國外代理商,87.0,368.5,25.0,368.5,SUS420,87.0,0.0,104.5,SUS316,612.0,9277.0
158,2.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
159,10.0,2000.0,B,C,M,C,N,R,KJLC,OTHERS,國外代理商,95.19,100.7,60.5,100.7,SUS420,95.19,0.0,82.6,SUS304,412.0,10261.0
160,3.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
161,2.0,1000.0,B,X,X,C,M,N,奈司特,SEMI,國內代理商,119.45,115.7,46.15,108.4,SUS420,119.45,0.0,109.3,SUS304,2159.0,20684.0
162,2.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
163,1.0,15.0,A,F,S,C,N,R,兆遠科技,LED,國內終端,94.0,125.5,15.0,125.5,SUS420,94.0,0.0,50.0,SUS304,1566.0,9842.0
166,2.0,4.0,X,X,S,C,N,R,漢磊-3,SEMI,國內終端,38.0,55.0,7.0,55.0,SUS420,38.0,0.0,35.0,SUS304,0.0,0.0
167,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,934.0,20717.0
168,1.0,625.0,X,X,S,A,N,H,UMC 8C,SEMI,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,772.0,16786.0
